ID,请求ID,AccessKey名称,模型,消耗token,类型,金额（元）,时间
642543,tk-20260518213057-nltk7f,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:30:57"
642542,tk-20260518213040-cb5l5v,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:30:40"
642537,tk-20260518213027-jooe1w,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:30:27"
642533,tk-20260518213008-ha4v13,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:30:08"
642532,tk-20260518213002-6xakpe,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:30:02"
642508,tk-20260518212959-p3b9ia,MX,seedance2.0,80770,消费,-3.7154,"2026-05-18 21:29:59"
642507,tk-20260518212949-7sa01b,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:29:49"
642557,tk-20260518212946-bta2yj,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:29:46"
642505,tk-20260518212943-3cepgz,MX,seedance2.0,130500,消费,-6.0030,"2026-05-18 21:29:43"
642504,tk-20260518212928-e67j48,MX,seedance2.0,216900,消费,-9.9774,"2026-05-18 21:29:28"
642525,tk-20260518212907-nts8cv,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:29:07"
642660,tk-20260518212902-9j0m0g,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:29:02"
642520,tk-20260518212856-12n04b,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:28:56"
642518,tk-20260518212852-mmakm1,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:28:52"
642517,tk-20260518212840-4ytjm9,MX,seedance2.0,260100,消费,-11.9646,"2026-05-18 21:28:40"
642516,tk-20260518212830-atk0th,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:28:30"
642494,tk-20260518212820-ijk3df,MX,seedance2.0,100858,消费,-4.6394,"2026-05-18 21:28:20"
642487,tk-20260518212759-28idi0,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:27:59"
642488,tk-20260518212759-wy35dw,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:27:59"
642484,tk-20260518212740-gxthqy,MX,seedance2.0,130500,消费,-6.0030,"2026-05-18 21:27:40"
642503,tk-20260518212633-3j50v2,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:26:33"
642464,tk-20260518212622-nc00e7,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:26:22"
642500,tk-20260518212613-zvg9eu,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:26:13"
642457,tk-20260518212559-6hs6y0,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:25:59"
642498,tk-20260518212553-oyb5fw,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:25:53"
642497,tk-20260518212546-js3zdx,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:25:46"
642492,tk-20260518212511-ck6lml,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:25:11"
642444,tk-20260518212442-tu0jsj,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:24:42"
642483,tk-20260518212430-02d3z6,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:24:30"
642511,tk-20260518212422-s8g7l0,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:24:22"
642480,tk-20260518212408-ra9l23,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:24:08"
642476,tk-20260518212401-3it0o5,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:24:01"
642472,tk-20260518212357-c53rkn,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:23:57"
642469,tk-20260518212351-ibz7ya,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:23:51"
642470,tk-20260518212350-uqfwak,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:23:50"
642468,tk-20260518212334-ixf3sl,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:23:34"
642467,tk-20260518212328-9oi63r,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:23:28"
642461,tk-20260518212315-xmcyv4,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:23:15"
642434,tk-20260518212310-wx6227,MX,seedance2.0,216900,消费,-9.9774,"2026-05-18 21:23:10"
642433,tk-20260518212304-m1tz43,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:23:04"
642458,tk-20260518212255-s5wms7,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:22:55"
642451,tk-20260518212218-2rmjtl,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:22:18"
642454,tk-20260518212215-ov63bl,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:22:15"
642427,tk-20260518212212-dykv24,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:22:12"
642452,tk-20260518212211-dt6g6g,MX,seedance2.0,195300,消费,-8.9838,"2026-05-18 21:22:11"
642453,tk-20260518212211-q038a4,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:22:11"
642449,tk-20260518212208-yau7ac,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:22:08"
642448,tk-20260518212206-rcdnhp,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:22:06"
642447,tk-20260518212205-31kabd,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:22:05"
642423,tk-20260518212200-jb6u26,MX,seedance2.0,151078,消费,-6.9495,"2026-05-18 21:22:00"
642424,tk-20260518212158-b4f89h,MX,seedance2.0,50638,消费,-2.3293,"2026-05-18 21:21:58"
642420,tk-20260518212146-gb0g46,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:21:46"
642445,tk-20260518212140-8ejsm0,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:21:40"
642440,tk-20260518212117-mws9am,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:21:17"
642439,tk-20260518212113-ndbjrh,MX,seedance2.0,303300,消费,-13.9518,"2026-05-18 21:21:13"
642412,tk-20260518212105-ohqjdw,MX,seedance2.0,87300,消费,-4.0158,"2026-05-18 21:21:05"
642411,tk-20260518212101-2au7in,MX,seedance2.0,216900,消费,-9.9774,"2026-05-18 21:21:01"
642438,tk-20260518212047-n9q8jo,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:20:47"
642404,tk-20260518212044-f0tfld,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:20:44"
642401,tk-20260518212036-obnz77,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:20:36"
642391,tk-20260518211936-yajzcp,MX,seedance2.0,173700,消费,-7.9902,"2026-05-18 21:19:36"
642390,tk-20260518211931-jl25h1,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:19:31"
642429,tk-20260518211921-ex72pr,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:19:21"
642428,tk-20260518211918-ijr0e0,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:19:18"
642388,tk-20260518211913-ubm2zb,MX,seedance2.0,151078,消费,-6.9495,"2026-05-18 21:19:13"
642387,tk-20260518211911-r9u8tm,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:19:11"
642379,tk-20260518211844-gv65ii,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:18:44"
642419,tk-20260518211836-dnk0mu,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:18:36"
642418,tk-20260518211833-fsds5q,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:18:33"
642414,tk-20260518211819-hofjxq,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:18:19"
642375,tk-20260518211816-fjt58i,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:18:16"
642407,tk-20260518211753-9u2zmb,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:17:53"
642373,tk-20260518211752-vcni24,MX,seedance2.0,151078,消费,-6.9495,"2026-05-18 21:17:52"
642372,tk-20260518211745-39fsaq,MX,seedance2.0,130500,消费,-6.0030,"2026-05-18 21:17:45"
642402,tk-20260518211735-ebd49p,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:17:35"
642399,tk-20260518211721-mplx6e,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:17:21"
642398,tk-20260518211707-awam0y,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:17:07"
642397,tk-20260518211701-jtwrtl,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:17:01"
642368,tk-20260518211659-u04z2u,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:16:59"
642367,tk-20260518211658-a8ez20,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:16:58"
642396,tk-20260518211653-478jgx,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:16:53"
642395,tk-20260518211651-4zj68t,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:16:51"
642359,tk-20260518211559-p06dr2,MX,seedance2.0,130500,消费,-6.0030,"2026-05-18 21:15:59"
642385,tk-20260518211554-vkxg5j,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:15:54"
642541,tk-20260518211544-lty06b,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:15:44"
642351,tk-20260518211516-hbn9kq,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:15:16"
642354,tk-20260518211514-lgxbzj,MX,seedance2.0,130500,消费,-6.0030,"2026-05-18 21:15:14"
642374,tk-20260518211510-q4vxdg,MX,seedance2.0,216900,消费,-9.9774,"2026-05-18 21:15:10"
642350,tk-20260518211448-agfkg5,MX,seedance2.0,130500,消费,-6.0030,"2026-05-18 21:14:48"
642349,tk-20260518211444-fuoyp9,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:14:44"
642346,tk-20260518211440-yqgxpw,MX,seedance2.0,151078,消费,-6.9495,"2026-05-18 21:14:40"
642371,tk-20260518211432-w7rosx,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:14:32"
642394,tk-20260518211339-3neopo,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:13:39"
642393,tk-20260518211338-3sh5i2,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:13:38"
642365,tk-20260518211317-spxvrc,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:13:17"
642364,tk-20260518211312-1o44of,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:13:12"
642362,tk-20260518211308-on8g5q,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:13:08"
642361,tk-20260518211301-m63jzx,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:13:01"
642357,tk-20260518211252-tnacgj,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:12:52"
642327,tk-20260518211249-yfxn15,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:12:49"
642326,tk-20260518211243-x33dti,MX,seedance2.0,151078,消费,-6.9495,"2026-05-18 21:12:43"
642324,tk-20260518211241-3reotl,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:12:41"
642355,tk-20260518211235-xqxicc,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:12:35"
642352,tk-20260518211219-n67umm,MX,seedance2.0,151078,消费,-6.9495,"2026-05-18 21:12:19"
642313,tk-20260518211150-83kjys,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:11:50"
642347,tk-20260518211140-8h2ejy,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:11:40"
642348,tk-20260518211140-07am0s,MX,seedance2.0,216900,消费,-9.9774,"2026-05-18 21:11:40"
642267,tk-20260518211139-jst7yr,MX,seedance2.0,90814,消费,-4.1774,"2026-05-18 21:11:39"
642344,tk-20260518211137-jlzsj2,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:11:37"
642341,tk-20260518211133-mzbtaz,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:11:33"
642309,tk-20260518211131-x65vus,MX,seedance2.0,151078,消费,-6.9495,"2026-05-18 21:11:31"
642339,tk-20260518211122-73sy5i,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:11:22"
642337,tk-20260518211121-4h0gpp,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:11:21"
642302,tk-20260518211117-o1lab4,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:11:17"
642335,tk-20260518211108-p28f25,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:11:08"
642297,tk-20260518211046-0vmol1,MX,seedance2.0,87300,消费,-4.0158,"2026-05-18 21:10:46"
642430,tk-20260518211029-cr4tv0,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:10:29"
642290,tk-20260518211016-hj45lq,MX,seedance2.0,216900,消费,-9.9774,"2026-05-18 21:10:16"
642332,tk-20260518211011-yi0405,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:10:11"
642331,tk-20260518211010-94qkjj,MX,seedance2.0,216900,消费,-9.9774,"2026-05-18 21:10:10"
642330,tk-20260518211006-crt3zs,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:10:06"
642329,tk-20260518211002-hw2k38,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:10:02"
642289,tk-20260518210958-7i51gm,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:09:58"
642328,tk-20260518210952-ijn2xw,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:09:52"
642285,tk-20260518210946-rhypw1,MX,seedance2.0,216900,消费,-9.9774,"2026-05-18 21:09:46"
642323,tk-20260518210935-6l4duu,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:09:35"
642280,tk-20260518210934-n1xm81,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:09:34"
642321,tk-20260518210928-outk1p,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:09:28"
642319,tk-20260518210925-jlv85m,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:09:25"
642320,tk-20260518210925-vi9c81,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:09:25"
642318,tk-20260518210921-s94vuu,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:09:21"
642316,tk-20260518210918-7b8yx7,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:09:18"
642315,tk-20260518210915-jup7pc,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:09:15"
642276,tk-20260518210912-15im3c,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:09:12"
642312,tk-20260518210850-4iou0n,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:08:50"
642270,tk-20260518210847-hfhrcn,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:08:47"
642266,tk-20260518210837-4gyeiq,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:08:37"
642311,tk-20260518210834-x3rd25,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:08:34"
642265,tk-20260518210833-vmnppk,MX,seedance2.0,130500,消费,-6.0030,"2026-05-18 21:08:33"
642308,tk-20260518210828-y6fiox,MX,seedance2.0,260100,消费,-11.9646,"2026-05-18 21:08:28"
642307,tk-20260518210826-9mfyle,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:08:26"
642310,tk-20260518210826-65x43v,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:08:26"
642303,tk-20260518210819-ls2cwh,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:08:19"
642304,tk-20260518210817-tbnj6c,MX,seedance2.0,151078,消费,-6.9495,"2026-05-18 21:08:17"
642299,tk-20260518210801-jnaatu,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:08:01"
642259,tk-20260518210800-208kfy,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:08:00"
642300,tk-20260518210757-p2zjtb,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:07:57"
642298,tk-20260518210751-qyd978,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:07:51"
642296,tk-20260518210748-emkmn7,MX,seedance2.0,324900,消费,-14.9454,"2026-05-18 21:07:48"
